"time","tweets"
"01-01-10-00",3695
"01-01-10-01",3367
"01-01-10-02",3144
"01-01-10-03",3141
"01-01-10-04",3026
"01-01-10-05",3034
"01-01-10-06",3111
"01-01-10-07",3082
"01-01-10-08",3037
"01-01-10-09",3002
"01-01-10-10",3155
"01-01-10-11",3195
"01-01-10-12",3328
"01-01-10-13",3314
"01-01-10-14",2976
"01-01-10-15",3300
"01-01-10-16",3202
"01-01-10-17",3024
"01-01-10-18",3099
"01-01-10-19",3149
"01-01-10-20",3269
"01-01-10-21",3198
"01-01-10-22",2998
"01-01-10-23",3114
"01-01-10-24",2977
"01-01-10-25",2972
"01-01-10-26",3201
"01-01-10-27",3049
"01-01-10-28",3110
"01-01-10-29",3051
"01-01-10-30",3441
"01-01-10-31",3156
"01-01-10-32",2917
"01-01-10-33",3274
"01-01-10-34",2994
"01-01-10-35",2944
"01-01-10-36",2947
"01-01-10-37",2833
"01-01-10-38",2881
"01-01-10-39",2999
"01-01-10-40",2910
"01-01-10-41",2837
"01-01-10-42",2900
"01-01-10-43",2792
"01-01-10-44",2816
"01-01-10-45",3109
"01-01-10-46",3012
"01-01-10-47",2729
"01-01-10-48",2819
"01-01-10-49",2796
"01-01-10-50",2902
"01-01-10-51",2811
"01-01-10-52",2700
"01-01-10-53",2733
"01-01-10-54",2774
"01-01-10-55",2797
"01-01-10-56",2762
"01-01-10-57",2755
"01-01-10-58",2648
"01-01-10-59",2647
"01-01-11-00",3513
"01-01-11-01",4263
"01-01-11-02",4954
"01-01-11-03",5024
"01-01-11-04",4723
"01-01-11-05",4892
"01-01-11-06",4976
"01-01-11-07",4820
"01-01-11-08",4727
"01-01-11-09",4638
"01-01-11-10",4776
"01-01-11-11",4743
"01-01-11-12",4555
"01-01-11-13",4696
"01-01-11-14",4583
"01-01-11-15",4799
"01-01-11-16",4816
"01-01-11-17",4721
"01-01-11-18",4665
"01-01-11-19",4697
"01-01-11-20",4923
"01-01-11-21",4931
"01-01-11-22",4908
"01-01-11-23",4661
"01-01-11-24",4707
"01-01-11-25",4830
"01-01-11-26",4794
"01-01-11-27",5060
"01-01-11-28",4815
"01-01-11-29",4672
"01-01-11-30",4981
"01-01-11-31",4903
"01-01-11-32",4973
"01-01-11-33",4894
"01-01-11-34",4717
"01-01-11-35",4970
"01-01-11-36",4840
"01-01-11-37",4824
"01-01-11-38",4850
"01-01-11-39",4984
"01-01-11-40",4992
"01-01-11-41",4699
"01-01-11-42",4459
"01-01-11-43",4380
"01-01-11-44",4484
"01-01-11-45",4228
"01-01-11-46",4355
"01-01-11-47",4093
"01-01-11-48",4254
"01-01-11-49",4291
"01-01-11-50",3960
"01-01-11-51",3662
"01-01-11-52",3706
"01-01-11-53",3601
"01-01-11-54",3358
"01-01-11-55",3361
"01-01-11-56",3055
"01-01-11-57",2687
"01-01-11-58",2759
"01-01-11-59",2759
"01-01-12-00",3272
"01-01-12-01",2875
"01-01-12-02",2879
"01-01-12-03",2857
"01-01-12-04",2812
"01-01-12-05",2899
"01-01-12-06",2810
"01-01-12-07",2791
"01-01-12-08",3024
"01-01-12-09",2953
"01-01-12-10",2962
"01-01-12-11",2782
"01-01-12-12",2819
"01-01-12-13",2759
"01-01-12-14",2810
"01-01-12-15",2887
"01-01-12-16",2788
"01-01-12-17",2741
"01-01-12-18",2672
"01-01-12-19",2713
"01-01-12-20",3035
"01-01-12-21",3101
"01-01-12-22",3017
"01-01-12-23",2702
"01-01-12-24",2840
"01-01-12-25",2898
"01-01-12-26",2779
"01-01-12-27",2736
"01-01-12-28",2713
"01-01-12-29",2989
"01-01-12-30",3368
"01-01-12-31",3103
"01-01-12-32",2986
"01-01-12-33",3229
"01-01-12-34",3174
"01-01-12-35",3027
"01-01-12-36",2639
"01-01-12-37",2979
"01-01-12-38",3256
"01-01-12-39",3109
"01-01-12-40",3294
"01-01-12-41",2991
"01-01-12-42",2993
"01-01-12-43",3027
"01-01-12-44",2948
"01-01-12-45",3088
"01-01-12-46",3039
"01-01-12-47",2879
"01-01-12-48",2908
"01-01-12-49",2857
"01-01-12-50",2797
"01-01-12-51",2668
"01-01-12-52",2895
"01-01-12-53",2871
"01-01-12-54",2906
"01-01-12-55",2932
"01-01-12-56",2747
"01-01-12-57",2913
"01-01-12-58",2889
"01-01-12-59",2785
"01-01-13-00",3272
"01-01-13-01",3138
"01-01-13-02",3076
"01-01-13-03",3081
"01-01-13-04",2945
"01-01-13-05",2819
"01-01-13-06",2881
"01-01-13-07",2813
"01-01-13-08",2890
"01-01-13-09",2956
"01-01-13-10",2935
"01-01-13-11",2929
"01-01-13-12",2921
"01-01-13-13",2943
"01-01-13-14",2875
"01-01-13-15",3203
"01-01-13-16",2849
"01-01-13-17",2776
"01-01-13-18",2821
"01-01-13-19",2822
"01-01-13-20",2854
"01-01-13-21",2806
"01-01-13-22",2828
"01-01-13-23",2654
"01-01-13-24",2685
"01-01-13-25",2975
"01-01-13-26",2935
"01-01-13-27",3130
"01-01-13-28",2921
"01-01-13-29",2779
"01-01-13-30",3150
"01-01-13-31",2884
"01-01-13-32",2891
"01-01-13-33",2764
"01-01-13-34",2691
"01-01-13-35",2888
"01-01-13-36",3022
"01-01-13-37",3106
"01-01-13-38",3030
"01-01-13-39",2937
"01-01-13-40",3164
"01-01-13-41",2726
"01-01-13-42",2819
"01-01-13-43",2850
"01-01-13-44",2759
"01-01-13-45",3064
"01-01-13-46",3234
"01-01-13-47",3126
"01-01-13-48",2890
"01-01-13-49",2809
"01-01-13-50",2964
"01-01-13-51",2846
"01-01-13-52",2776
"01-01-13-53",2761
"01-01-13-54",2617
"01-01-13-55",2810
"01-01-13-56",2843
"01-01-13-57",2836
